source_box_id,sigma_min,sigma_max,t_min,t_max,mainNormLowerConst_raw,numeratorUpperConst_raw,restUpperCombinedConst_raw,restUpperSeparateConst_raw,mainNormLowerConst_rat,numeratorUpperConst_rat,parallelUpperConst_rat,restUpperCombinedConst_rat,restUpperSeparateConst_rat,budgetCombinedConst_rat,budgetSeparateConst_rat,certified_combined_rat,certified_separate_rat
s0.85_t3,0.85,0.85,32.835,32.839,0.055100999351390165,5e-324,0.008706393945091671,0.008732791899081138,0.055100999351,0.000000000001,0.000000000019,0.008706393946,0.008732791900,0.046394605386,0.046368207432,True,True
s0.85_t4,0.85,0.85,32.84,32.844,0.05448778898338487,5e-324,0.008664430069756033,0.008702202228564994,0.054487788983,0.000000000001,0.000000000019,0.008664430070,0.008702202229,0.045823358894,0.045785586735,True,True
s0.85_t5,0.85,0.85,32.845,32.849000000000004,0.053895668152116,5e-324,0.008616670567343726,0.008667865826937774,0.053895668152,0.000000000001,0.000000000019,0.008616670568,0.008667865827,0.045278997565,0.045227802306,True,True
s0.85_t6,0.85,0.85,32.85,32.854,0.05332500045738848,5e-324,0.00856279915656987,0.008629525856410388,0.053325000457,0.000000000001,0.000000000019,0.008562799157,0.008629525857,0.044762201281,0.044695474581,True,True
s0.85_t7,0.85,0.85,32.855,32.859,0.052778361356727595,5e-324,0.008503062359825297,0.008587214977348543,0.052778361356,0.000000000001,0.000000000019,0.008503062360,0.008587214978,0.044275298977,0.044191146359,True,True
s0.85_t8,0.85,0.85,32.86,32.86,0.062118558673478694,5e-324,0.0027966931037023803,0.0027970529061772348,0.062118558673,0.000000000001,0.000000000017,0.002796693104,0.002797052907,0.059321865552,0.059321505749,True,True
s0.86_t0,0.86,0.86,32.82,32.824,0.058036827312603616,5e-324,0.00809563960177108,0.008099437955328729,0.058036827312,0.000000000001,0.000000000018,0.008095639602,0.008099437956,0.049941187692,0.049937389338,True,True
s0.86_t1,0.86,0.86,32.825,32.829,0.05743412080612687,5e-324,0.008074042444841159,0.008082575591103132,0.057434120806,0.000000000001,0.000000000018,0.008074042445,0.008082575592,0.049360078343,0.049351545196,True,True
s0.86_t2,0.86,0.86,32.83,32.834,0.05684665755236646,5e-324,0.008046835843657056,0.008061943483673539,0.056846657552,0.000000000001,0.000000000018,0.008046835844,0.008061943484,0.048799821690,0.048784714050,True,True
s0.86_t3,0.86,0.86,32.835,32.839,0.056274495617604364,5e-324,0.008013902775934998,0.008037377042638546,0.056274495617,0.000000000001,0.000000000018,0.008013902776,0.008037377043,0.048260592823,0.048237118556,True,True
s0.86_t4,0.86,0.86,32.84,32.844,0.05572009248487939,5e-324,0.007975747025996766,0.008009378121316888,0.055720092484,0.000000000001,0.000000000018,0.007975747026,0.008009378122,0.047744345440,0.047710714344,True,True
s0.86_t5,0.86,0.86,32.845,32.849000000000004,0.0551852935119466,5e-324,0.007932346975734833,0.007977969552762204,0.055185293511,0.000000000001,0.000000000019,0.007932346976,0.007977969553,0.047252946516,0.047207323939,True,True
s0.86_t6,0.86,0.86,32.85,32.854,0.054670391620137974,5e-324,0.007883410558281826,0.007942911819873428,0.054670391620,0.000000000001,0.000000000019,0.007883410559,0.007942911820,0.046786981042,0.046727479781,True,True
s0.86_t7,0.86,0.86,32.855,32.859,0.05417776190253946,5e-324,0.007829163633624405,0.007904236398520172,0.054177761902,0.000000000001,0.000000000019,0.007829163634,0.007904236399,0.046348598249,0.046273525484,True,True
s0.86_t8,0.86,0.86,32.86,32.86,0.06300836053173399,5e-324,0.002530742514426426,0.002531146873605271,0.063008360531,0.000000000001,0.000000000016,0.002530742515,0.002531146874,0.060477618000,0.060477213641,True,True
