scope,pass_column,N,K,M,component_id,size,sigma_min,sigma_max,t_min,t_max,sigma_count,t_count,best_slack,best_sigma,best_t,best_N,best_K,best_M,mean_slack,touches_sigma_boundary,touches_t_boundary,likely_grid_accident
per_parameter,current_pass_Q,50,4,25,1,5,0.88,0.96,33.0,33.0,5,1,0.007230262632621169,0.9,33.0,50,4,25,0.006770449490881111,yes,no,yes
per_parameter,current_pass_Q,50,5,100,1,5,0.88,0.96,33.0,33.0,5,1,0.006408250164753244,0.92,33.0,50,5,100,0.005970942083271248,yes,no,yes
per_parameter,current_pass_Q,50,5,200,1,5,0.88,0.96,33.0,33.0,5,1,0.003718404512320409,0.9,33.0,50,5,200,0.0034253738425791417,yes,no,yes
per_parameter,current_pass_Q,50,5,25,1,5,0.88,0.96,33.0,33.0,5,1,0.007923235083870673,0.9,33.0,50,5,25,0.007522587400383865,yes,no,yes
per_parameter,current_pass_Q,50,6,100,1,5,0.88,0.96,33.0,33.0,5,1,0.00668477916876561,0.92,33.0,50,6,100,0.006268711054559005,yes,no,yes
per_parameter,current_pass_Q,50,6,200,1,5,0.88,0.96,33.0,33.0,5,1,0.003126748583906566,0.9,33.0,50,6,200,0.002832251544104252,yes,no,yes
per_parameter,current_pass_Q,50,6,25,1,5,0.88,0.96,33.0,33.0,5,1,0.008108308979412802,0.9,33.0,50,6,25,0.007638177851637925,yes,no,yes
per_parameter,current_pass_Q,50,7,100,1,5,0.88,0.96,33.0,33.0,5,1,0.006547183880231799,0.92,33.0,50,7,100,0.006127644438317729,yes,no,yes
per_parameter,current_pass_Q,50,7,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0031044024642373123,0.9,33.0,50,7,200,0.002818624233227027,yes,no,yes
per_parameter,current_pass_Q,50,7,25,1,5,0.88,0.96,33.0,33.0,5,1,0.008003321239658865,0.9,33.0,50,7,25,0.0075534375607811,yes,no,yes
per_parameter,current_pass_Q,50,8,100,1,5,0.88,0.96,33.0,33.0,5,1,0.006575342110931109,0.92,33.0,50,8,100,0.006155352995582457,yes,no,yes
per_parameter,current_pass_Q,50,8,200,1,5,0.88,0.96,33.0,33.0,5,1,0.0031552686117927316,0.9,33.0,50,8,200,0.0028654292730574634,yes,no,yes
per_parameter,current_pass_Q,50,8,25,1,5,0.88,0.96,33.0,33.0,5,1,0.008027641806900772,0.9,33.0,50,8,25,0.007575425496344034,yes,no,yes
aggregate_any_parameter,current_pass_Q,*,*,*,1,5,0.88,0.96,33.0,33.0,5,1,0.01185653532786115,0.88,33.0,50,3,25,0.005015228793871877,yes,no,yes
