window,split,sigma,points,pointwise_pass_no_tilt,pointwise_pass_tilt_norm_only,pointwise_pass_tilt_oriented,pointwise_pass_full_tilted,worst_no_tilt,worst_no_tilt_t,worst_tilt_norm_only,worst_tilt_norm_only_t,worst_tilt_oriented,worst_tilt_oriented_t,worst_full_tilted,worst_full_tilted_t,lean_main_lower,lean_oriented_main_lower,lean_rest_upper,lean_tilt_upper,lean_tail_upper,lean_surplus_no_tilt,lean_surplus_tilt_norm_only,lean_surplus_tilt_oriented,branch_defect,branch_abs_defect,verdict
t1429,center,0.75,501,501,501,501,501,0.01674149959932974,14.136,0.0061018097943558,14.135,0.02738028692596752,14.136,0.0239224147255857,14.136,0.027806690639921656,0.03844547796655944,0.0111408041592059,0.024689343302539808,0.0,0.016665886480715757,-0.008023456821824052,0.027304673807353543,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
t1429,core,0.72,501,372,276,451,382,-0.00849685808647416,14.29,-0.015122957837707764,14.287999999999998,-0.001897828555639594,14.290999999999999,-0.009158487167397734,14.290999999999999,0.018555183943693147,0.025153798230308153,0.02723281977768379,0.022927751189834183,0.0,-0.008677635833990643,-0.03160538702382483,-0.002079021547375638,-0.5697344824057169,0.5697344824057169,fails_on_grid
t1429,core,0.73,501,407,293,501,424,-0.0041746119453625954,14.289,-0.011840402025701077,14.286999999999999,0.003467433180691721,14.29,-0.003652033100288204,14.29,0.020991786972011504,0.028633443518834217,0.025333818727040894,0.02372499878020465,0.0,-0.004342031755029389,-0.02806703053523404,0.003299624791793323,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1429,core,0.737,501,447,306,501,501,-0.001325196632376232,14.287999999999998,-0.009735576346366365,14.286999999999999,0.007063284401215734,14.29,4.9377888090215705e-05,14.29,0.02259998600362228,0.030987725857181996,0.024083771627948013,0.024292629464721317,0.0,-0.0014837856243257348,-0.02577641508904705,0.006903954229233983,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1429,core,0.74,501,482,312,501,501,-0.0001468016877859274,14.287999999999998,-0.008880362704436142,14.286,0.00856534036300597,14.289,0.0015980469551859777,14.289,0.023265159865123605,0.031976938081620006,0.023567075466328774,0.024538417232508377,0.0,-0.0003019156012051688,-0.024840332833713546,0.008409862615291232,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
t1429,core,0.75,501,501,336,501,501,0.003605260612822809,14.286999999999999,-0.006220905713892616,14.284999999999998,0.013411744076422323,14.287999999999998,0.006605717692227422,14.287999999999998,0.025384879827260773,0.035190806076904564,0.021923388792984208,0.025368955637831536,0.0,0.003461491034276565,-0.02190746460355497,0.013267417283920356,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
t1429,depth,0.72,501,501,501,501,501,0.035857486610660516,14.129999999999999,0.024451379482314035,14.129999999999999,0.04726311662793439,14.130999999999998,0.0471806840544381,14.130999999999998,0.03616442065302324,0.047570043132021844,0.0006544226092567623,0.02196615387150103,0.0,0.03550999804376648,0.013543844172265448,0.04691562052276508,-0.5697344824057169,0.5697344824057169,lean_candidate_oriented_pass
t1429,depth,0.73,501,501,501,501,501,0.03679430049180995,14.129999999999999,0.024515831992702096,14.129,0.04907244193685153,14.129999999999999,0.04898573438706338,14.129999999999999,0.037100602962159626,0.049378744407201206,0.0006311422593636743,0.022981303210918517,0.0,0.03646946070279595,0.013488157491877432,0.04874760214783753,-0.5848363586991328,0.5848363586991328,lean_candidate_oriented_pass
t1429,depth,0.737,501,501,501,501,501,0.03742249353368402,14.129999999999999,0.024520616130002185,14.129,0.050323926006737664,14.129999999999999,0.05023430307802689,14.129999999999999,0.03772800895658784,0.05062944142964148,0.0006154310770759806,0.023694735858428143,0.0,0.03711257787951186,0.013417842021083717,0.0500140103525655,-0.5950494967118453,0.5950494967118453,lean_candidate_oriented_pass
t1429,depth,0.74,501,501,501,501,501,0.03768490459054761,14.129999999999999,0.024512774816595286,14.129,0.05085654221986488,14.129999999999999,0.05076568989369241,14.129999999999999,0.037990001240537585,0.05116163886985486,0.0006088393999692802,0.024001204465160617,0.0,0.037381161840568305,0.013379957375407689,0.05055279946988558,-0.59933908952247,0.59933908952247,lean_candidate_oriented_pass
t1429,depth,0.75,501,501,501,501,501,0.038530598560279794,14.129,0.024444835120994688,14.129,0.05261585811598491,14.129999999999999,0.052520998443136374,14.129999999999999,0.03883397584298442,0.05291922840057705,0.0005874573727400723,0.02502582902692964,0.0,0.038246518470244344,0.013220689443314705,0.052331771027836975,-0.6132704598304932,0.6132704598304932,lean_candidate_oriented_pass
